Proveedor,RUC_PROVEEDOR,División,Departamento,Fecha Proceso,Documento (OC - GR),Marca,Tipo Producto,Tipo Marca,Sucursal Destino,MH,Tarifas S/. CROSS,Tarifas S/. PICK,Tarifas S/. DEV,Unidades CROSS,Unidades PICK,Unidades DEV,Stock S/. CROSS,Stock S/. PICK,Stock S/. DEV,Costo Log S/. CROSS,Costo Log S/. PICK,Costo Log S/. DEV
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,23/12/2021,2477928,REEBOK,FLT,TERCERAS,CD Villa El Salvador,FLT,0.00,0.93,,,187,,,7384.05,,,173.56,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,23/12/2021,2477884,ADIDAS,FLT,TERCERAS,CD Villa El Salvador,FLT,0.00,0.93,,,353,,,24126.17,,,327.62,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,23/12/2021,2477929,REEBOK,FLT,TERCERAS,CD Villa El Salvador,FLT,0.22,0.00,,1937,,,73269,,,433.19,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,23/12/2021,2477904,ADIDAS,FLT,TERCERAS,CD Villa El Salvador,FLT,0.22,0.00,,3465,,,133470.82,,,774.91,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,ZAPATILLAS TERCERO,21/12/2021,2477453,REEBOK,SHO,TERCERAS,CD Villa El Salvador,SHO,0.34,0.00,,12,,,1100.64,,,4.03,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,ZAPATILLAS TERCERO,21/12/2021,2476817,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,SHO,0.34,0.00,,2489,,,243706.29,,,834.96,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,ZAPATILLAS TERCERO,21/12/2021,2477454,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,SHO,0.34,0.00,,732,,,74088,,,245.56,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,ZAPATILLAS TERCERO,21/12/2021,2476810,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,SHO,0.00,1.48,,,132,,,12782.88,,,194.83,
ADIDAS PERU S.A.C,2034710031,DEPORTES,ZAPATILLAS TERCERO,21/12/2021,2476781,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,SHO,0.00,1.48,,,360,,,34493.76,,,531.37,
ADIDAS PERU S.A.C,2034710031,CALZADO,TERCERA CALZADO JUVENIL URBANO,21/12/2021,2475743,REEBOK,SHO,TERCERAS,CD Villa El Salvador,SHO,0.34,0.00,,180,,,12020.88,,,60.38,,
ADIDAS PERU S.A.C,2034710031,CALZADO,TERCERA CALZADO JUVENIL URBANO,21/12/2021,2475773,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,SHO,0.00,1.48,,,72,,,6234.48,,,106.27,
ADIDAS PERU S.A.C,2034710031,CALZADO,TERCERA CALZADO JUVENIL URBANO,21/12/2021,2475775,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,SHO,0.34,0.00,,132,,,14136.24,,,44.28,,
ADIDAS PERU S.A.C,2034710031,CALZADO,TERCERA CALZADO JUVENIL URBANO,21/12/2021,2477594,REEBOK,SHO,TERCERAS,CD Villa El Salvador,SHO,0.34,0.00,,864,,,63992.64,,,289.84,,
ADIDAS PERU S.A.C,2034710031,CALZADO,TERCERA CALZADO JUVENIL URBANO,21/12/2021,2477587,REEBOK,SHO,TERCERAS,CD Villa El Salvador,SHO,0.00,1.48,,,120,,,9161.28,,,177.12,
ADIDAS PERU S.A.C,2034710031,CALZADO,TERCERA CALZADO JUVENIL URBANO,21/12/2021,2475776,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,SHO,0.34,0.00,,228,,,17651.52,,,76.48,,
ADIDAS PERU S.A.C,2034710031,CALZADO,TERCERA CALZADO JUVENIL URBANO,21/12/2021,2475745,REEBOK,SHO,TERCERAS,CD Villa El Salvador,SHO,0.00,1.48,,,24,,,1586.4,,,35.42,
ADIDAS PERU S.A.C,2034710031,CALZADO,TERCERA CALZADO MUJER URBANO,21/12/2021,2475766,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,SHO,0.34,0.00,,420,,,47868.48,,,140.89,,
ADIDAS PERU S.A.C,2034710031,CALZADO,TERCERA CALZADO MUJER URBANO,21/12/2021,2475741,REEBOK,SHO,TERCERAS,CD Villa El Salvador,SHO,0.34,0.00,,180,,,20197.8,,,60.38,,
ADIDAS PERU S.A.C,2034710031,CALZADO,TERCERA CALZADO MUJER URBANO,21/12/2021,2477583,REEBOK,SHO,TERCERAS,CD Villa El Salvador,SHO,0.34,0.00,,468,,,54915.12,,,156.99,,
ADIDAS PERU S.A.C,2034710031,CALZADO,TERCERA CALZADO MUJER URBANO,21/12/2021,2475778,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,SHO,0.34,0.00,,576,,,80622.96,,,193.22,,
ADIDAS PERU S.A.C,2034710031,CALZADO,TERCERA CALZADO MUJER URBANO,21/12/2021,2477577,REEBOK,SHO,TERCERAS,CD Villa El Salvador,SHO,0.00,1.48,,,24,,,2816.16,,,35.42,
ADIDAS PERU S.A.C,2034710031,CALZADO,TERCERA CALZADO MUJER URBANO,21/12/2021,2475763,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,SHO,0.00,1.48,,,120,,,12543.48,,,177.12,
ADIDAS PERU S.A.C,2034710031,CALZADO,TERCERA CALZADO MUJER URBANO,21/12/2021,2475737,REEBOK,SHO,TERCERAS,CD Villa El Salvador,SHO,0.00,1.48,,,24,,,2693.04,,,35.42,
